"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop"
"1","China",81171,78,3277,7,73159,4735,1573,56
"2","Italy",63927,NA,6077,NA,7432,50418,3204,1057
"3","USA",46168,2434,582,29,295,45291,1040,139
"4","Spain",39673,4537,2696,385,3794,33183,2355,849
"5","Germany",30150,1094,130,7,453,29567,23,360
"6","Iran",24811,1762,1934,122,8913,13964,NA,295
"7","France",19856,NA,860,NA,2200,16796,2082,304
"8","Switzerland",9117,322,122,2,131,8864,141,1053
"9","S. Korea",9037,76,120,9,3507,5410,59,176
"10","UK",6650,NA,335,NA,135,6180,20,98
"11","Austria",4791,317,25,4,9,4757,17,532
"12","Netherlands",4749,NA,213,NA,2,4534,435,277
"13","Belgium",4269,526,122,34,461,3686,381,368
"14","Norway",2647,22,11,1,6,2630,42,488
"15","Australia",2136,249,8,1,118,2010,11,84
"16","Canada",2091,NA,24,NA,112,1955,1,55
"17","Portugal",2060,NA,23,NA,14,2023,47,202
"18","Sweden",2059,13,33,6,16,2010,110,204
"19","Brazil",1960,36,34,NA,2,1924,18,9
"20","Israel",1656,214,1,NA,49,1606,31,191
"21","Malaysia",1624,106,15,1,183,1426,64,50
"22","Denmark",1577,117,32,8,1,1544,69,272
"23","Turkey",1529,NA,37,NA,NA,1492,NA,18
"24","Czechia",1289,53,2,1,7,1280,19,120
"25","Japan",1140,12,42,NA,285,813,54,9
"26","Ireland",1125,NA,6,NA,5,1114,29,228
"27","Ecuador",981,NA,18,NA,3,960,2,56
"28","Pakistan",908,33,7,1,13,888,NA,4
"29","Luxembourg",875,NA,8,NA,6,861,3,1398
"30","Thailand",827,106,4,3,52,771,7,12
"31","Finland",792,92,1,NA,10,781,11,143
"32","Poland",774,25,9,1,1,764,3,20
"33","Romania",762,186,8,1,79,675,15,40
"34","Chile",746,NA,2,NA,11,733,7,39
"35","Diamond Princess",712,NA,10,2,587,115,15,NA
"36","Greece",695,NA,17,NA,29,649,35,67
"37","Indonesia",686,107,55,6,30,601,NA,3
"38","Iceland",588,NA,2,1,51,535,14,1723
"39","Saudi Arabia",562,NA,NA,NA,19,543,NA,16
"40","Singapore",558,49,2,NA,156,400,14,95
"41","South Africa",554,152,NA,NA,4,550,2,9
"42","Philippines",552,90,35,2,20,497,1,5
